"","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25"
"1936",91.7229,70.7331,54.5205,42.0066,32.3298,24.8747,19.1395,14.73,11.3396,8.7324,6.72688,5.18346,3.99503,3.07941,2.37375,1.82982,1.41055,1.08735,0.838207,0.646153,0.498104,0.383951,0.295981,0.228176,0.175912,0.59218
"1937",91.6944,70.7167,54.5173,41.9819,32.2981,24.8359,19.1021,14.6959,11.3095,8.70613,6.70432,5.16453,3.97956,3.06715,2.36418,1.82241,1.40482,1.08293,0.834794,0.64352,0.496073,0.382411,0.294772,0.227234,0.175178,0.589689
"1938",91.6824,70.6947,54.5107,41.9973,32.3089,24.8418,19.0979,14.6875,11.2991,8.69528,6.69363,5.15453,3.97067,3.05962,2.35812,1.81766,1.40113,1.08007,0.832585,0.641814,0.494757,0.381395,0.294009,0.226629,0.174704,0.588052
"1939",91.6241,70.6854,54.4748,41.9291,32.2138,24.7412,19.0105,14.6111,11.2356,8.64315,6.65118,5.12,3.94269,3.03714,2.34027,1.8037,1.3903,1.0717,0.826126,0.63683,0.490913,0.378431,0.291723,0.224882,0.173344,0.583418
"1940",91.6177,70.6405,54.4859,41.9624,32.2647,24.7733,19.022,14.6146,11.232,8.63705,6.64409,5.1128,3.93576,3.03076,2.33465,1.79897,1.3865,1.06872,0.823814,0.635042,0.48953,0.377363,0.290899,0.224246,0.172866,0.581722
"1941",91.615,70.6356,54.4469,41.9691,32.2906,24.8135,19.0477,14.6243,11.2354,8.63479,6.63979,5.10766,3.93047,3.02561,2.32989,1.79476,1.38295,1.06587,0.821575,0.633303,0.488185,0.376324,0.290096,0.223627,0.172388,0.580085
"1942",91.5844,70.6335,54.4298,41.8993,32.2297,24.7665,19.0222,14.5993,11.208,8.61043,6.61728,5.08835,3.91418,3.01204,2.31862,1.78546,1.37537,1.05979,0.8168,0.629593,0.485315,0.374108,0.288386,0.222307,0.17137,0.576637
"1943",91.5573,70.6099,54.4341,41.8906,32.1794,24.7222,18.988,14.5811,11.1899,8.59025,6.59923,5.07158,3.89975,2.99985,2.30844,1.77699,1.36837,1.05408,0.812219,0.625993,0.482518,0.371944,0.286715,0.221018,0.170375,0.57327
"1944",91.5331,70.589,54.4167,41.8944,32.1729,24.6836,18.9541,14.5549,11.176,8.5764,6.58378,5.05775,3.8869,2.98879,2.2991,1.76919,1.36189,1.04872,0.807846,0.622483,0.47976,0.369801,0.285057,0.219737,0.169387,0.569927
"1945",91.5115,70.5704,54.3976,41.8785,32.1738,24.6771,18.9233,14.528,11.1552,8.56519,6.57273,5.04557,3.87606,2.97875,2.29047,1.76191,1.35582,1.04368,0.803685,0.619091,0.477039,0.367663,0.283396,0.218452,0.168395,0.566571
